text,clean text
นาริฟิลลฝูใหญ่,นาริฟิลลฝูใหญ่
 choc chip cookies, choc chip cookies
6 iilk choc diuest,6 iilk choc diuest
aแถม 1,aแถม 1
 ไร่้ามัน ทุกเมน ( ราค, ไร่้ามัน ทุกเมน ( ราค
ม,ม
แร็มต่น l19 เมนู5,แร็มต่น l19 เมนู5
ยเพิมสวนต่าง ),ยเพิมสวนต่าง )
เมน,เมน
a,a
ข้าวไฟฟ้นอกไกสับฝัตชอสหง,ข้าวไฟฟ้นอกไกสับฝัตชอสหง
f 200 koal,f 200 koal
เมน,เมน
2,2
พะแนงอกไกล่น,พะแนงอกไกล่น
ไ้าาวกส้อง,ไ้าาวกส้อง
265 kcal,265 kcal
เมนู 3,เมนู 3
ข้าวไมมันไก ซูวี 1{9 kal,ข้าวไมมันไก ซูวี 1{9 kal
เมน,เมน
a,a
อกไก่กระเทยมพริกไทย+้าว,อกไก่กระเทยมพริกไทย+้าว
 ไรส, ไรส
'229  k(;a|,'229  k(;a|
เมบ,เมบ
5.,5.
ช้าวไฟชันกะเพราอกไกสืน 2,ช้าวไฟชันกะเพราอกไกสืน 2
95,95
แโทฟฮังไฮโปรตัน,แโทฟฮังไฮโปรตัน
ม.,ม.
""")'}6(`()""""?|4|: azabu  samo""",""")'}6(`()""""?|4|: azabu  samo"""
ยัหหวาหยุ่ปุแทสตราช,ยัหหวาหยุ่ปุแทสตราช
สหาโรรสบาร์เคำ,สหาโรรสบาร์เคำ
2,2
โวริกกรัแท่แอไม่รวม,โวริกกรัแท่แอไม่รวม
แแมสหหาสายเฺร่ โป,แแมสหหาสายเฺร่ โป
ohp ]งมอนด์เกรแมอ,ohp ]งมอนด์เกรแมอ
ขอค,ขอค
ปัน,ปัน
โกแอด,โกแอด
ถ่านกระดุม renata cr2450n,ถ่านกระดุม renata cr2450n
ค่าธรรมเนียมจัดสงพัสดุแบบ ems,ค่าธรรมเนียมจัดสงพัสดุแบบ ems
ได้รับเงินตามเอกสารเลขที,ได้รับเงินตามเอกสารเลขที
dn5302-00001,dn5302-00001
ลงวันที่,ลงวันที่
28/02/2553,28/02/2553
ไค้รับเงินดามเอกสารเลขที,ไค้รับเงินดามเอกสารเลขที
815302-00001,815302-00001
ลงวันที่,ลงวันที่
20/02/2553,20/02/2553
ได้รับเงินตามเอกสารเลขที่,ได้รับเงินตามเอกสารเลขที่
ar15311-00002,ar15311-00002
ลงวันที่,ลงวันที่
01/01/2553,01/01/2553
ไต้รับเงินตามเอกสารเกขที,ไต้รับเงินตามเอกสารเกขที
$n5311-0000)1,$n5311-0000)1
ลงวันที่,ลงวันที่
20) [)2/2553,20) [)2/2553
ได้รับเงินดามเอกสารเลขที,ได้รับเงินดามเอกสารเลขที
cn5302-00001,cn5302-00001
ลงวันที่,ลงวันที่
25/02/2553,25/02/2553
 product order 1, product order 1
option set this product,option set this product
 product order 2, product order 2
option set this product,option set this product
เยืน,เยืน
กาปชิโน,กาปชิโน
teststea zredinlate,teststea zredinlate
 nose tea signature, nose tea signature
ความหวาน,ความหวาน
50%,50%
pi cemhiusa,pi cemhiusa
 stooii gel, stooii gel
r smmi gi ;,r smmi gi ;
ก,ก
re stooif,re stooif
1. ทงคดสราเมน (xl),1. ทงคดสราเมน (xl)
อุดังเทมประ,อุดังเทมประ
(xl),(xl)
3. เกี้ยวชา(ภคา,3. เกี้ยวชา(ภคา
ปกติ),ปกติ)
4. ชชาเขียว refll,4. ชชาเขียว refll
(เปน),(เปน)
ชาจืน refill,ชาจืน refill
(รอน),(รอน)
nบ formll4 der,nบ formll4 der
8859210600102,8859210600102
nบ fopmula - der,nบ fopmula - der
8859210600102,8859210600102
plaltnerv tea,plaltnerv tea
8859617401272,8859617401272
 ballobaui fina1, ballobaui fina1
8809486363508,8809486363508
 dermedl-ac cle, dermedl-ac cle
8800066000110,8800066000110
oxe clre - acne,oxe clre - acne
8859510400655,8859510400655
885885$$-17924,885885$$-17924
2p onigiial - oh,2p onigiial - oh
8859708500495,8859708500495
 loreal extraor, loreal extraor
4992944111972,4992944111972
แซน วิชแยมชส,แซน วิชแยมชส
ไลกรลกทอส iii,ไลกรลกทอส iii
แไก่มุ่มสไปซ์สไตอ์มีูปู,แไก่มุ่มสไปซ์สไตอ์มีูปู
สลังหม่า itfiasie,สลังหม่า itfiasie
ม่าดัมคกึสต้า600มอ.,ม่าดัมคกึสต้า600มอ.
เสตมป์ 1,เสตมป์ 1
บาท 2566,บาท 2566
0008-9360-8903,0008-9360-8903
ref#2,ref#2
4784-4006-[909-ix00-0000,4784-4006-[909-ix00-0000
วโมกบุสธีบาธ,วโมกบุสธีบาธ
tailสมิiร,tailสมิiร
 bogo, bogo
al1 customler- th,al1 customler- th
 2pc, 2pc
 honey-, honey-
 butter biscuits, butter biscuits
Regular Coleslaw,Regular Coleslaw
 sequthickene combo, sequthickene combo
 coke l iff m, coke l iff m
 add-on coleslaw, add-on coleslaw
 mashed p., mashed p.
water,water
 spicy, spicy
ii- เค้กกหลานแสมหาาม,ii- เค้กกหลานแสมหาาม
buil.2,buil.2
fra j[ma,fra j[ma
wix,wix
l paracap วง0m6,l paracap วง0m6
 tempra forie, tempra forie
กะสายบืน 2oom.,กะสายบืน 2oom.
 caramrr v, caramrr v
 opsar iye lot, opsar iye lot
ยหหม่องล้ายทอ:!2ต:,ยหหม่องล้ายทอ:!2ต:
maa. oxal tm1 mil,maa. oxal tm1 mil
neobun เลัก,neobun เลัก
.'อลทอองลล์$r345^,.'อลทอองลล์$r345^
iavi (a?4]180!1,iavi (a?4]180!1
 geniian viou eา, geniian viou eา
rornf socc,rornf socc
nss เง0 osuxa,nss เง0 osuxa
สำภิก้อนราพยาบาล,สำภิก้อนราพยาบาล
ลีขาเว,ลีขาเว
s luckx 3d,s luckx 3d
ลีขา)วั.,ลีขา)วั.
หน้ากาค tpp,หน้ากาค tpp
1su.00,1su.00
ไอน้ำคำลือคาว !งml,ไอน้ำคำลือคาว !งml
ls.00,ls.00
ส้ม,ส้ม
ormna,ormna
dd,dd
tal,tal
de! tacarbon,de! tacarbon
mi6,mi6
zenzera,zenzera
alr x som6,alr x som6
 rigexpl as7ชนิดผ้น, rigexpl as7ชนิดผ้น
 d]inpyd)!a^a3, d]inpyd)!a^a3
torita,torita
แบนเนอร์กระดาษ,แบนเนอร์กระดาษ
 ขนาด 15x45cm., ขนาด 15x45cm.
กระดาษ แบบด้าน 260 แกรม,กระดาษ แบบด้าน 260 แกรม
พิมพ์ 4 สี 2 หน้า,พิมพ์ 4 สี 2 หน้า
ง.,ง.
ไม่รับทออง/ธ้อน/ส่ำ,ไม่รับทออง/ธ้อน/ส่ำ
 แถ้วอิสงกรรบโทแก่ร, แถ้วอิสงกรรบโทแก่ร
ทยงม่า,ทยงม่า
 ihb, ihb
iganeระ สมบาท30ไวัน,iganeระ สมบาท30ไวัน
สแตนดี้ฟิวเจอร์บอร์ด,สแตนดี้ฟิวเจอร์บอร์ด
5 มม. ขนาด 40 ซม.,5 มม. ขนาด 40 ซม.
ค่าจัดส่ง,ค่าจัดส่ง
c:ch,c:ch
chain,chain
ทระเาย al  8oแก1,ทระเาย al  8oแก1
กุข!งทลเหล่ม3,กุข!งทลเหล่ม3
"""tn4 """"|7186""","""tn4 """"|7186"""
 mix, mix
อกลมฮาร์ทบีทลัมโบ้ส,อกลมฮาร์ทบีทลัมโบ้ส
 7รaneสะสมบาท30วัน, 7รaneสะสมบาท30วัน
 photocard 2side *ตัดมุม ฺลายละ 35 ชิ้น, photocard 2side *ตัดมุม ฺลายละ 35 ชิ้น
พวงกุญแจอะคริลิค acm,พวงกุญแจอะคริลิค acm
สกรีน 2 ด้าน ขอบใส,สกรีน 2 ด้าน ขอบใส
125,125
เงินประกันการเช่า,เงินประกันการเช่า
วันที่ใช้,วันที่ใช้
กล่องลูกโปง,กล่องลูกโปง
เซตกล่องลูกโปงไซส์ 30x30 พร้อมข้อความ,เซตกล่องลูกโปงไซส์ 30x30 พร้อมข้อความ
# ป้ายฌ็อคล่องคอ+เซีย^ fka,# ป้ายฌ็อคล่องคอ+เซีย^ fka
วัวล้วนๆมีไวท์มอล,วัวล้วนๆมีไวท์มอล
ผสม,ผสม
m,m
หวานปกติ,หวานปกติ
ไข่มุก,ไข่มุก
"40,4*15.4 cm","40,4*15.4 cm"
กระดาบ art card 300 g,กระดาบ art card 300 g
พิมพ์ 2 ด้าน,พิมพ์ 2 ด้าน
"เฟอเรโร่ครีมเค้ก,20.00","เฟอเรโร่ครีมเค้ก,20.00"
เฟอเรโร่ครีมเค็ก.20.00,เฟอเรโร่ครีมเค็ก.20.00
เฟอเรโร่ครีมเค้ก.20.00,เฟอเรโร่ครีมเค้ก.20.00
 photobooth, photobooth
450,450
ก.,ก.
 เกรรไกร, เกรรไกร
6  1/2,6  1/2
นว,นว
ix12,ix12
%กล่อง$-022,%กล่อง$-022
(60 ลิตร),(60 ลิตร)
ลูกอมเ,ลูกอมเ
",มนทอสชาวร์มิกซ์100 เมด*1",",มนทอสชาวร์มิกซ์100 เมด*1"
%ด-biz,%ด-biz
 คัตเตอร์มลาสติก9mm, คัตเตอร์มลาสติก9mm
 เลก1x12, เลก1x12
ช เอรร่ถุงซิปาส 15x23,ช เอรร่ถุงซิปาส 15x23
ซม,ซม
o. 5กก,o. 5กก
 คุกกี้สิงครบร์, คุกกี้สิงครบร์
carnation-1-555,carnation-1-555
 gerbera cn-555, gerbera cn-555
 gerbera ml-555, gerbera ml-555
เทียนหอมผีเสือพร้อมตัาอักษร,เทียนหอมผีเสือพร้อมตัาอักษร
คาสง,คาสง
ค่าเช่ากล่องไฟ,ค่าเช่ากล่องไฟ
เงินประกันการเช่า,เงินประกันการเช่า
 ค่ากระดาษอธิบายโปรเจกต์และ, ค่ากระดาษอธิบายโปรเจกต์และ
 ค่าบริการ, ค่าบริการ
พิมพ์ปายสโลแกน,พิมพ์ปายสโลแกน
ขนาด 39x15 ชม.,ขนาด 39x15 ชม.
หน้าพิมพ์ 4 สี หลังพิมพ์ 1 สี,หน้าพิมพ์ 4 สี หลังพิมพ์ 1 สี
 กระดาษอาร์ดการ์ด 230g, กระดาษอาร์ดการ์ด 230g
มี 2 แบบ,มี 2 แบบ
"ละ 5,300 ใบ","ละ 5,300 ใบ"
พิม์หน้ากาก,พิม์หน้ากาก
ขนาด,ขนาด
15x15 ชม.,15x15 ชม.
ไดคัทดามแบบ,ไดคัทดามแบบ
เปือกคล้องหู,เปือกคล้องหู
 กระดาษ อาร์ตการ์ด 230g, กระดาษ อาร์ตการ์ด 230g
แหวนไฟ สีขาว,แหวนไฟ สีขาว
"10,600 ใบพิมพ์ป้ายสโบแกน","10,600 ใบพิมพ์ป้ายสโบแกน"
พิมพ์หน้ากาก,พิมพ์หน้ากาก
โหลละ,โหลละ
 ปากกาเขียนcd2หัวโยย่า โหลละ, ปากกาเขียนcd2หัวโยย่า โหลละ
 katsu  saimon w/rice  vm16, katsu  saimon w/rice  vm16
 >kaokatsusa imon, >kaokatsusa imon
 >reg fries, >reg fries
)7,)7
 coke, coke
16,16
oz,oz
"น้่ำงมคริสต้า600มอ,","น้่ำงมคริสต้า600มอ,"
เทปกระงาษกาวอ่น,เทปกระงาษกาวอ่น
108  1gaeส:สฆบาท3(ว้น,108  1gaeส:สฆบาท3(ว้น
s0-bizของนากาล kb/ba,s0-bizของนากาล kb/ba
"""9""""1?.75""""'""","""9""""1?.75""""'"""
(21006005)2,(21006005)2
ป้ายคำพถ,ป้ายคำพถ
a3,a3
ชาเขียวนม ปัน,ชาเขียวนม ปัน
พวงกุญแจอะคริลิก,พวงกุญแจอะคริลิก
(พวงกุญแจอะคริลิ,(พวงกุญแจอะคริลิ
ก 6 ซม),ก 6 ซม)
 ค่าส่ง j&t express, ค่าส่ง j&t express
"""พัดใสรองขาว 6x6""""""","""พัดใสรองขาว 6x6"""""""
"""โพสอิสสติคเอ็น""""3*3"""" สะท้อนแสงโหลละ**""","""โพสอิสสติคเอ็น""""3*3"""" สะท้อนแสงโหลละ**"""
กาวดินนำมัน แผงละ,กาวดินนำมัน แผงละ
สแตนดี้อะคริลิก (ข,สแตนดี้อะคริลิก (ข
นาดพิเศษ),นาดพิเศษ)
ค่าส่ง j&t express,ค่าส่ง j&t express
standce pp board,standce pp board
mm with,mm with
standee pp board,standee pp board
mm with,mm with
di cut standee,di cut standee
สแตนดีมีขาตัง,สแตนดีมีขาตัง
ไดคัท,ไดคัท
 จัดส่งด้วยรถบริษัทในเขต กทม ปริมณฑล, จัดส่งด้วยรถบริษัทในเขต กทม ปริมณฑล
bangkok area delivery,bangkok area delivery
งาน,งาน
backdrop,backdrop
ตัวอักษรไฟ เพิมมา,ตัวอักษรไฟ เพิมมา
ดัว,ดัว
เกล่องพลาสวูดทาสืฟนตึดตัวอักษร peck,เกล่องพลาสวูดทาสืฟนตึดตัวอักษร peck
แทนวางของ 3,แทนวางของ 3
ชิ้น,ชิ้น
ปู่พรม,ปู่พรม
ncthicken  wi hed,ncthicken  wi hed
1 ii french fries,1 ii french fries
3llk,3llk
fanta strawberri 16 oz.,fanta strawberri 16 oz.
 cupsleeve yorch (สีชมพู), cupsleeve yorch (สีชมพู)
 cupsleeve yorch ( สึน้ำเงิน), cupsleeve yorch ( สึน้ำเงิน)
แม่เหล็กติคตู้เย็นไใดคัทมุมมนขนาด 4.7 x 7.1 cm หนา o.5 mm,แม่เหล็กติคตู้เย็นไใดคัทมุมมนขนาด 4.7 x 7.1 cm หนา o.5 mm
แบบบาง ),แบบบาง )
"จ่านวน 1,180 ขิ้น , ละ 4.5 บาท","จ่านวน 1,180 ขิ้น , ละ 4.5 บาท"
 cupsleeve, cupsleeve
ธรรมดา,ธรรมดา
gloss 3ougsm,gloss 3ougsm
photo,photo
 2x3inch, 2x3inch
 fu]i, fu]i
photo,photo
 axbincn, axbincn
 fu]i, fu]i
poster,poster
a3,a3
18ogsm,18ogsm
pl505-bag-bubblebag_ white_15x20+4,pl505-bag-bubblebag_ white_15x20+4
pl511-8ag-bubblebag_ white_20x25+4,pl511-8ag-bubblebag_ white_20x25+4
pl001-l0 logistic& currier [ค่าขนส่ง],pl001-l0 logistic& currier [ค่าขนส่ง]
 ค่าพิมพงาน postrard ame, ค่าพิมพงาน postrard ame
 ค่าพิมพงาน postrard bright, ค่าพิมพงาน postrard bright
 ค่าพิมพ์งาน card (5 แบบ), ค่าพิมพ์งาน card (5 แบบ)
1. badge pin size 4.4,1. badge pin size 4.4
 2. เคลือบ uv ก้นป้า, 2. เคลือบ uv ก้นป้า
"""3. ถงแก้ว 1:1 ชิน""""""","""3. ถงแก้ว 1:1 ชิน"""""""
แผ่นลูกฟูก 13x18 cm. m105/m105 3ชัน,แผ่นลูกฟูก 13x18 cm. m105/m105 3ชัน
แผ่นลูกฟูก 11x15 cm. m105/m105 3ชั้น,แผ่นลูกฟูก 11x15 cm. m105/m105 3ชั้น
ใบเสร็จรับเงิน เล่มที่ 323 เลขที่ 16126,ใบเสร็จรับเงิน เล่มที่ 323 เลขที่ 16126
วาดเป็นตัวเต็มครึ่งต้า,วาดเป็นตัวเต็มครึ่งต้า
ภาพ sd เด็มดัวใส่ชุดแมวลีขาว,ภาพ sd เด็มดัวใส่ชุดแมวลีขาว
ภาพ sd เฉพาะสวมทัวชุดสัตว์,ภาพ sd เฉพาะสวมทัวชุดสัตว์
ภาพชุดเสื้อโค้ท standee เต็มตัว,ภาพชุดเสื้อโค้ท standee เต็มตัว
รุบธีมไพ่,รุบธีมไพ่
 standee 11 cm, standee 11 cm
standee,standee
 make a bright wish 2023, make a bright wish 2023
สแดนดี11 cm ฐานพิมพ์ลาย5ชม 35,สแดนดี11 cm ฐานพิมพ์ลาย5ชม 35
 shipping 3, shipping 3
 express/ messenger, express/ messenger
ทูน่าครีม,ทูน่าครีม
ทูน่าครีม,ทูน่าครีม
สลัดธภัญฟีช,สลัดธภัญฟีช
สลัดธัญฟืช,สลัดธัญฟืช
ป้าย  ขนาด 42 x 14,ป้าย  ขนาด 42 x 14
cm.,cm.
2  แบบ@1,2  แบบ@1
500  ใบ,500  ใบ
กระดาษ อาร์ตมัน,กระดาษ อาร์ตมัน
160 แกรม,160 แกรม
พิมพ์สี 2  ฺหน้า,พิมพ์สี 2  ฺหน้า
 ค่าเช่ากล่องไฟ, ค่าเช่ากล่องไฟ
เงินประกันการเช่า,เงินประกันการเช่า
 scorch, scorch
nhiie,nhiie
 adisie, adisie
3 7น[,3 7น[
scorch hhiie,scorch hhiie
 adhesive 37ul ., adhesive 37ul .
เทาวทาวเอนกประศะกสภัยตร์ iif มส.(ถาท็ซ์,เทาวทาวเอนกประศะกสภัยตร์ iif มส.(ถาท็ซ์
เหรขาวแนกประสงหก์สกถหรฺรามก.ไ้าเพีกร์1,เหรขาวแนกประสงหก์สกถหรฺรามก.ไ้าเพีกร์1
mr dix shopp ing bag,mr dix shopp ing bag
fishing,fishing
lines-25,lines-25
 pruner ]f2486-8, pruner ]f2486-8
 sewing needle 60s ht2110#, sewing needle 60s ht2110#
 xmas, xmas
tinsel  garland  sx16cd-19#,tinsel  garland  sx16cd-19#
ทวะดางแท้ว,ทวะดางแท้ว
(ox100),(ox100)
เอลเฟนเผนรอ 300x220มม,เอลเฟนเผนรอ 300x220มม
a4,a4
ธาารังาวทิตหลาสดิกรoeka,ธาารังาวทิตหลาสดิกรoeka
(w),(w)
30๓1,30๓1
อีบี,อีบี
คัดเตกร,คัดเตกร
โลตํสน้าดิ่ม220มลk12,โลตํสน้าดิ่ม220มลk12
cp12_ โลตัสฺน้าดิมฺ3,cp12_ โลตัสฺน้าดิมฺ3
 scotci กรรไกร รุ่น, scotci กรรไกร รุ่น
 แม็กซ์ เครื่องเย็บกร, แม็กซ์ เครื่องเย็บกร
 แม็กซ์ เครื่องเย็บกร, แม็กซ์ เครื่องเย็บกร
 liax ลาดเย็บ 10-1| x4, liax ลาดเย็บ 10-1| x4
ตราม้ามีดคัตเตอร์$il,ตราม้ามีดคัตเตอร์$il
สราม้ามืดคัตเตอร์$il,สราม้ามืดคัตเตอร์$il
 scotci กรรไกร รุ่น, scotci กรรไกร รุ่น
เทปใส 500  3/4x36#ลาน,เทปใส 500  3/4x36#ลาน
เทปใส 500  3/4/36#ลาน,เทปใส 500  3/4/36#ลาน
โลหัสกระดาษกาาย่น48x,โลหัสกระดาษกาาย่น48x
coke,coke
 leo, leo
leo 3 ขวด,leo 3 ขวด
 รู้oda, รู้oda
"15,00","15,00"
นาแข็ง,นาแข็ง
แซลมอนชาซิม,แซลมอนชาซิม
ต้นฟัวปลาแซลมอน,ต้นฟัวปลาแซลมอน
ต้มปลาคัง,ต้มปลาคัง
ถัวทอด,ถัวทอด
ย่าตะไค้กุงลวก,ย่าตะไค้กุงลวก
ฝ่าีดภุงทaอด7ไเลวก,ฝ่าีดภุงทaอด7ไเลวก
สลัดหมูย่าง,สลัดหมูย่าง
 เอ็นไก่ทอด, เอ็นไก่ทอด
วารรา.,วารรา.
al conor.,al conor.
 อาหารและเครื่องดืม, อาหารและเครื่องดืม
tomahawk (100og),tomahawk (100og)
 +m/d, +m/d
 caesar salad, caesar salad
shushi set(7อยาง),shushi set(7อยาง)
 sashimi 3 kinds, sashimi 3 kinds
hot green tea,hot green tea
ปากแสฟทะเอ),ปากแสฟทะเอ)
เมือปู่มัดมงกะพร,เมือปู่มัดมงกะพร
ปลากระพงหอดราดป้าปลา,ปลากระพงหอดราดป้าปลา
โปะแหกหะเล{มม้อ),โปะแหกหะเล{มม้อ)
ฝัดผ์กรามฝ้ามัน#อม,ฝัดผ์กรามฝ้ามัน#อม
อบรุ้มเส้น(กุ้งแธป้วน),อบรุ้มเส้น(กุ้งแธป้วน)
ไยกระป๋กปู,ไยกระป๋กปู
ช่าวสวม(โล),ช่าวสวม(โล)
เครืองสม45,เครืองสม45
ฝ่าเนล่า,ฝ่าเนล่า
ฝ่าแจงโหญ่,ฝ่าแจงโหญ่
leo 3 ขวด,leo 3 ขวด
ป่า,ป่า
น้าแป็ง,น้าแป็ง
ไขเปียาม้ากะเพรากรอบ,ไขเปียาม้ากะเพรากรอบ
ปลาคังลวกจิ๋ม,ปลาคังลวกจิ๋ม
ป่าแปลมอน,ป่าแปลมอน
บุทรี lm เขียว,บุทรี lm เขียว
ไฟแข็ด,ไฟแข็ด
โซดา,โซดา
น้ำแข็ง(ใหญี).,น้ำแข็ง(ใหญี).
;,;
น้ำแฉ้นดวไปเปอร.,น้ำแฉ้นดวไปเปอร.
ไก่ครีมมะนาว.,ไก่ครีมมะนาว.
ปูนิ่มทอดกระเทียม.,ปูนิ่มทอดกระเทียม.
หอยนางรมทรงเครื่อง.,หอยนางรมทรงเครื่อง.
คลิปมินท.,คลิปมินท.
มาโบโร,มาโบโร
 หมูทอดทรงเครือง., หมูทอดทรงเครือง.
สลัดทูน่า,สลัดทูน่า
สปาเกตตี้หมูกระเทียมพริก,สปาเกตตี้หมูกระเทียมพริก
ไทย(ราคาปกติ),ไทย(ราคาปกติ)
 ป้าวราดกระเพรา(หมู), ป้าวราดกระเพรา(หมู)
ไข(ไขดาว),ไข(ไขดาว)
ค้อมงมยานสมิหฺโชดา),ค้อมงมยานสมิหฺโชดา)
ดอกเกลือ,ดอกเกลือ
ม่าเปา่า,ม่าเปา่า
ฝ่าแม้ง,ฝ่าแม้ง
(ไหญ่),(ไหญ่)
ม่าพวิกปุ่ทาม,ม่าพวิกปุ่ทาม
เอ็นทอนฝัดจ่า,เอ็นทอนฝัดจ่า
ฝัดฝักมุ่งฝอมหมุกาอม,ฝัดฝักมุ่งฝอมหมุกาอม
ปาฝัาเากะทา,ปาฝัาเากะทา
เฬิึกแคลเค็นา,เฬิึกแคลเค็นา
แกงสัมกุาขะอมไป่,แกงสัมกุาขะอมไป่
ป้าวกาน ไก,ป้าวกาน ไก
(ปิด)สุงใหญ่เผา,(ปิด)สุงใหญ่เผา
ขาวฝัดปู,ขาวฝัดปู
(เจ็ก),(เจ็ก)
ใท่ง,ใท่ง
กอดปอง,กอดปอง
กาะกอบแก้า,กาะกอบแก้า
ea,ea
กูะยูกู่รยูส8ง..,กูะยูกู่รยูส8ง..
s8i tยทpr,s8i tยทpr
saba shioyaki,saba shioyaki
 coha se, coha se
บีต upamak1,บีต upamak1
 salmon, salmon
เตไบ,เตไบ
efpiao,efpiao
คาeรน,คาeรน
เรีบรา,เรีบรา
รูeารู,รูeารู
sush!,sush!
ก,ก
 sushi, sushi
 mnercn3, mnercn3
water,water
ea,ea
2,2
กูะยูกู่รยูส8ง..,กูะยูกู่รยูส8ง..
40,40
s8i tยทpr,s8i tยทpr
s0.,s0.
saba shioyaki,saba shioyaki
 coha se, coha se
บีต upamak1,บีต upamak1
 salmon, salmon
เตไบ,เตไบ
efpiao,efpiao
คาeรน,คาeรน
เรีบรา,เรีบรา
รูeารู,รูeารู
sush!,sush!
ก,ก
 sushi, sushi
 mnercn3, mnercn3
water,water
แครงลาก,แครงลาก
ข้าามัดปู(ใหม่),ข้าามัดปู(ใหม่)
มงฉ่า,มงฉ่า
น้ำเข็ง,น้ำเข็ง
น่ำเปล่า,น่ำเปล่า
น่าขาด(ล),น่าขาด(ล)
ปูม้านึง,ปูม้านึง
ฝงเผา36d,ฝงเผา36d
ฟาเปล่าใหญ,ฟาเปล่าใหญ
แกงสมปะอม(ภวม),แกงสมปะอม(ภวม)
ทอบมางรมทางเคร่อง,ทอบมางรมทางเคร่อง
ข้าวจา:,ข้าวจา:
zาหารและเครืวงดิม,zาหารและเครืวงดิม
 ขนมหน้าแตก ใบเดย, ขนมหน้าแตก ใบเดย
 เล็ก, เล็ก
โสมนัส ใหญ่,โสมนัส ใหญ่
 คุกกี้สับปะรดภูเก็ต /เล, คุกกี้สับปะรดภูเก็ต /เล
 ปลาฉิ้งฉ้าง รสเค็ม, ปลาฉิ้งฉ้าง รสเค็ม
 เล็ก, เล็ก
เฉาก๊วยภูเก็ต,เฉาก๊วยภูเก็ต
ใหญ่,ใหญ่
 เฉาก๊วยแปะก๊วย/เล็ก, เฉาก๊วยแปะก๊วย/เล็ก
 เฉาก๊วยไข่มุก, เฉาก๊วยไข่มุก
 chocolate shake, chocolate shake
take away,take away
cold brew,cold brew
orange tonic,orange tonic
take away,take away
ต้มฝ่ากุ้ง-ป้าปัน(หม้อเลก ),ต้มฝ่ากุ้ง-ป้าปัน(หม้อเลก )
 ลูกชื้นปลาลวกจิ้ม, ลูกชื้นปลาลวกจิ้ม
ข้าวจาน,ข้าวจาน
n.129 ทะเลจานร้อน,n.129 ทะเลจานร้อน
n.83 ปู่นึ่มทอดกระเฟียมพริก,n.83 ปู่นึ่มทอดกระเฟียมพริก
ไทย,ไทย
น้าฟิพย์,น้าฟิพย์
น้าแซง30,น้าแซง30
แตงโมปัน,แตงโมปัน
 caramel milk(ปั่น ), caramel milk(ปั่น )
 cocoa(ปน), cocoa(ปน)
สป่าเกตตี้คาโบนารา,สป่าเกตตี้คาโบนารา
สปาเกตตี้ชอสมะเขือเทศ,สปาเกตตี้ชอสมะเขือเทศ
"thal milk tea(cold., สูดร:","thal milk tea(cold., สูดร:"
ทาานเอบ),ทาานเอบ)
สัมบะงดรอเมอรร&ครม,สัมบะงดรอเมอรร&ครม
"อเมรกาโน (กลาง,รอน)","อเมรกาโน (กลาง,รอน)"
 butter croissant, butter croissant
ham cheese,ham cheese
 croissant, croissant
ฝูใหญ่,ฝูใหญ่
หม้อจิ้มจุ่ม,หม้อจิ้มจุ่ม
น้าดืมคริสตัล,น้าดืมคริสตัล
น้าแซงสัง,น้าแซงสัง
